3.981071705534972693e+02;5.204375694292694732e+01
4.216965034285821616e+02;5.163267945978361695e+01
4.466835921509633067e+02;5.160938578267769117e+01
4.731512589614805506e+02;4.780136532988941411e+01
5.011872336272722919e+02;4.941646464364286828e+01
5.308844442309887199e+02;5.160370041418028109e+01
5.623413251903492664e+02;4.909496857898156463e+01
5.956621435290105637e+02;5.161477707103767187e+01
6.309573444801932283e+02;5.093640367162425520e+01
6.683439175686144154e+02;4.866026972549121865e+01
7.079457843841381646e+02;5.028035838024992188e+01
7.498942093324558300e+02;4.940845304566204277e+01
7.943282347242820833e+02;4.773412930667645071e+01
8.413951416451955083e+02;4.705538727722115055e+01
8.912509381337457626e+02;4.592856700503321576e+01
9.440608762859234275e+02;4.546445132273001377e+01
9.999999999999997726e+02;4.527859700241971552e+01
1.059253725177288288e+03;4.487416266413193000e+01
1.122018454301963629e+03;4.276626164689052700e+01
1.188502227437018291e+03;4.319771356710219834e+01
1.258925411794167985e+03;4.198490713042873068e+01
1.333521432163324562e+03;4.243953568169833090e+01
1.412537544622754467e+03;4.116297698450829046e+01
1.496235656094433125e+03;3.985490545409702889e+01
1.584893192461112903e+03;4.041806690071197750e+01
1.678804018122559228e+03;3.908515794100483021e+01
1.778279410038922833e+03;3.828717784824977599e+01
1.883649089489800190e+03;3.765765936157823290e+01
1.995262314968880446e+03;3.515514490809255932e+01
2.113489039836647407e+03;3.502819449017385978e+01
2.238721138568339484e+03;3.334266567218784871e+01
2.371373705661654640e+03;3.411465831898360079e+01
2.511886431509578870e+03;3.452948949422732738e+01
2.660725059798807706e+03;3.040308165344064406e+01
2.818382931264453418e+03;3.199182248965708197e+01
2.985382618917955824e+03;2.911429388738947921e+01
3.162277660168380407e+03;3.435964470943984139e+01
3.349654391578276773e+03;3.690718338202174209e+01
3.548133892335753899e+03;3.585866603176525302e+01
3.758374042884440314e+03;3.777911586110774067e+01
3.981071705534970079e+03;3.486326190037281236e+01
